Transcript,Gene
TRINITY_DN12387_c0_g3_i1,PARP4
TRINITY_DN123878_c0_g1_i1,MLRP2
TRINITY_DN12388_c0_g1_i6,PLK2
TRINITY_DN12389_c0_g1_i1,RAB31
TRINITY_DN1239_c0_g1_i12,RTBS
TRINITY_DN1239_c0_g1_i19,RTBS
TRINITY_DN1239_c3_g1_i2,ATLA1
TRINITY_DN12392_c0_g1_i1,TMTC1
TRINITY_DN12393_c0_g1_i11,RED
TRINITY_DN12393_c0_g1_i4,RED
TRINITY_DN12393_c0_g1_i8,POGK
TRINITY_DN12396_c0_g1_i21,NUD18
TRINITY_DN124_c0_g1_i5,PRDX4
TRINITY_DN1240_c0_g1_i13,ITBX
TRINITY_DN1240_c0_g1_i21,ITBX
TRINITY_DN1240_c0_g1_i30,ITBX
TRINITY_DN1240_c0_g1_i35,ITBX
TRINITY_DN12400_c0_g1_i4,SMHD1
TRINITY_DN12404_c0_g1_i4,DDX20
TRINITY_DN12404_c0_g1_i6,DDX20
TRINITY_DN12405_c0_g1_i4,CERK1
TRINITY_DN12407_c0_g1_i1,SKA1
TRINITY_DN12407_c0_g1_i2,SKA1
TRINITY_DN124087_c0_g1_i5,ZMYM2
TRINITY_DN1241_c0_g2_i1,TKTL2
TRINITY_DN12412_c0_g2_i2,PGBD4
TRINITY_DN12412_c0_g3_i1,Y1252
TRINITY_DN12412_c3_g1_i14,LORF2
TRINITY_DN12412_c3_g1_i7,LORF2
TRINITY_DN12413_c0_g1_i5,DELE1
TRINITY_DN12413_c1_g1_i11,TET2
TRINITY_DN1243_c0_g1_i2,HEM
TRINITY_DN1243_c0_g1_i5,NCKP1
TRINITY_DN1243_c1_g1_i7,TIMP
TRINITY_DN124302_c0_g1_i2,SO4A1
TRINITY_DN124308_c0_g1_i8,POGK
TRINITY_DN12435_c0_g1_i1,WFD18
TRINITY_DN12435_c0_g1_i2,WFD18
TRINITY_DN124352_c0_g1_i1,HARB1
TRINITY_DN124352_c0_g1_i2,HARB1
TRINITY_DN12437_c0_g1_i1,SRGEF
TRINITY_DN12437_c0_g1_i2,SRGEF
TRINITY_DN12437_c0_g1_i5,SRGEF
TRINITY_DN1244_c0_g1_i10,VP37A
TRINITY_DN1244_c0_g1_i8,VP37A
TRINITY_DN12440_c1_g1_i11,BORA
TRINITY_DN12441_c2_g1_i1,TLR3
TRINITY_DN12445_c0_g1_i8,MCRI2
TRINITY_DN1245_c0_g1_i22,PH4H
TRINITY_DN124524_c0_g1_i1,PA2A2
TRINITY_DN12456_c0_g1_i3,CC44
TRINITY_DN124569_c0_g1_i2,TBB2
TRINITY_DN12457_c0_g1_i3,ZFAN4
TRINITY_DN124598_c0_g1_i1,MFAP4
TRINITY_DN12460_c0_g1_i2,HS12A
TRINITY_DN12467_c0_g1_i5,WRN
TRINITY_DN12468_c0_g1_i2,BAZ1B
TRINITY_DN12469_c0_g1_i6,PUS3
TRINITY_DN12471_c10_g1_i16,S40A1
TRINITY_DN12476_c0_g1_i1,C1GTB
TRINITY_DN12485_c0_g1_i11,MRP7
TRINITY_DN12485_c0_g1_i13,MRP7
TRINITY_DN12485_c0_g1_i16,MRP7
TRINITY_DN12486_c0_g1_i63,S2542
TRINITY_DN12486_c0_g1_i9,S2542
TRINITY_DN124889_c0_g1_i1,RFESD
TRINITY_DN12489_c0_g1_i2,HIBCH
TRINITY_DN12489_c0_g1_i7,CB081
TRINITY_DN1249_c0_g1_i10,CHD7
TRINITY_DN1249_c0_g1_i19,CHD7
TRINITY_DN1249_c0_g1_i2,CHD7
TRINITY_DN1249_c0_g1_i7,CHD7
TRINITY_DN12490_c0_g1_i19,THOC1
TRINITY_DN12493_c0_g1_i6,CASP3
TRINITY_DN12496_c0_g1_i15,STML1
TRINITY_DN12496_c0_g1_i6,STML1
TRINITY_DN124967_c0_g1_i1,LYAG
TRINITY_DN12497_c0_g1_i15,K1109
TRINITY_DN12497_c0_g1_i20,K1109
TRINITY_DN125_c1_g1_i10,YH24
TRINITY_DN125_c1_g1_i3,YH24
TRINITY_DN125_c1_g1_i9,YH24
TRINITY_DN125_c1_g2_i13,PTHD3
TRINITY_DN125_c4_g1_i6,RHBL2
TRINITY_DN1250_c0_g1_i3,ODR4
TRINITY_DN1250_c0_g1_i4,ODR4
TRINITY_DN1250_c0_g1_i5,ODR4
TRINITY_DN12506_c0_g1_i5,PCX4
TRINITY_DN12508_c0_g1_i5,SY65
TRINITY_DN1251_c0_g1_i14,PLST
TRINITY_DN1251_c0_g1_i18,PLST
TRINITY_DN1251_c2_g1_i2,ECI1
TRINITY_DN12511_c1_g1_i2,GLC7B
TRINITY_DN12511_c2_g1_i1,GCYB2
TRINITY_DN12512_c0_g1_i1,TLD
TRINITY_DN12512_c0_g1_i18,TLD
TRINITY_DN12513_c0_g1_i14,ANM5
TRINITY_DN12513_c0_g1_i3,ANM5
TRINITY_DN125131_c0_g1_i1,TBX1
TRINITY_DN125156_c0_g1_i1,MPP7
TRINITY_DN12516_c0_g1_i2,ACH7
TRINITY_DN12518_c2_g1_i7,NAT10
TRINITY_DN12519_c0_g1_i2,PNKP
TRINITY_DN12519_c0_g1_i3,PNKP
TRINITY_DN12521_c0_g1_i12,CADM2
TRINITY_DN125213_c0_g1_i1,GHDC
TRINITY_DN125213_c0_g1_i12,GH317
TRINITY_DN125213_c0_g1_i6,GHDC
TRINITY_DN125230_c0_g1_i1,LIN12
TRINITY_DN125262_c0_g1_i1,DHX29
TRINITY_DN125262_c0_g1_i2,DHX29
TRINITY_DN1253_c1_g1_i8,DJC13
TRINITY_DN12531_c0_g1_i1,FCER2
TRINITY_DN12533_c0_g1_i1,PLOD3
TRINITY_DN12534_c0_g1_i14,EXO5
TRINITY_DN12534_c0_g1_i2,EXO5
TRINITY_DN12535_c0_g1_i2,ASPP
TRINITY_DN12535_c0_g1_i7,ASPP
TRINITY_DN12535_c0_g1_i9,ASPP
TRINITY_DN12538_c0_g1_i11,GMPPB
TRINITY_DN12538_c0_g1_i6,GMPPB
TRINITY_DN12539_c0_g2_i1,RGS3
TRINITY_DN12541_c1_g1_i5,DMBT1
TRINITY_DN12542_c0_g1_i1,MLE
TRINITY_DN12544_c0_g1_i3,KAT3
TRINITY_DN12545_c0_g1_i15,RMC1
TRINITY_DN12545_c0_g1_i27,RMC1
TRINITY_DN12545_c0_g1_i30,RMC1
TRINITY_DN12546_c0_g1_i13,AQP
TRINITY_DN125464_c0_g1_i1,CHRC1
TRINITY_DN12547_c0_g1_i4,ZDH24
TRINITY_DN12550_c0_g1_i13,IGBP1
TRINITY_DN12550_c0_g1_i14,IGBP1
TRINITY_DN12554_c0_g1_i1,NTAN1
TRINITY_DN12554_c0_g1_i8,NTAN1
TRINITY_DN12557_c0_g1_i1,CARME
TRINITY_DN12558_c0_g1_i15,TCB1
TRINITY_DN12559_c0_g1_i10,VPS50
TRINITY_DN1256_c0_g1_i10,LRP2
TRINITY_DN1256_c0_g1_i7,LRP2
TRINITY_DN1256_c2_g1_i1,EFNMT
TRINITY_DN12561_c0_g1_i3,PIHD2
TRINITY_DN12561_c0_g1_i4,PIHD2
TRINITY_DN12568_c0_g2_i10,TBB4B
TRINITY_DN12568_c0_g2_i4,TBB4B
TRINITY_DN12569_c0_g1_i1,SPDEF
TRINITY_DN12569_c0_g1_i2,ETS4
TRINITY_DN12569_c0_g1_i3,ETS4
TRINITY_DN12569_c0_g1_i5,SPDEF
TRINITY_DN12572_c0_g1_i1,NEUR
TRINITY_DN12572_c0_g1_i11,NEUR
TRINITY_DN12573_c0_g1_i3,SYMC
TRINITY_DN12574_c0_g1_i14,6PGL
TRINITY_DN12574_c0_g1_i3,6PGL
TRINITY_DN12574_c0_g1_i5,6PGL
TRINITY_DN12575_c0_g1_i23,DYI3
TRINITY_DN12575_c0_g1_i6,DYI3
TRINITY_DN12575_c0_g1_i8,DYI3
TRINITY_DN12576_c0_g2_i5,TBC20
TRINITY_DN12578_c0_g1_i3,PTSS2
TRINITY_DN12581_c0_g1_i8,LNX1
TRINITY_DN125822_c0_g1_i1,POL3
TRINITY_DN12583_c0_g1_i6,RTBS
TRINITY_DN12583_c0_g2_i1,MET24
TRINITY_DN12583_c0_g3_i2,YTX2
TRINITY_DN12583_c1_g1_i6,TITIN
TRINITY_DN12583_c1_g1_i7,TITIN
TRINITY_DN125844_c0_g1_i1,TRPC7
TRINITY_DN125867_c0_g1_i2,RTBS
TRINITY_DN1259_c1_g1_i5,RBM5
TRINITY_DN1259_c11_g1_i1,AA1R
TRINITY_DN1259_c3_g1_i19,DAPB3
TRINITY_DN1259_c5_g1_i4,BMR1B
TRINITY_DN12591_c0_g1_i2,TBCD7
TRINITY_DN12593_c0_g1_i4,RMD2
TRINITY_DN125944_c0_g1_i1,KCNKG
TRINITY_DN12595_c0_g1_i3,TM260
TRINITY_DN12595_c0_g1_i32,TM260
TRINITY_DN12595_c0_g1_i36,TM260
TRINITY_DN12595_c0_g1_i44,TM260
TRINITY_DN12595_c0_g1_i47,TM260
TRINITY_DN12595_c0_g1_i5,TM260
TRINITY_DN12595_c0_g1_i7,TM260
TRINITY_DN125989_c0_g1_i1,S26A5
TRINITY_DN126_c14_g1_i12,CRK
TRINITY_DN126_c14_g1_i13,CRK
TRINITY_DN126_c16_g1_i1,LIN37
TRINITY_DN126_c3_g1_i8,DPYS
TRINITY_DN1260_c0_g1_i12,POL5
TRINITY_DN1260_c0_g1_i14,POL5
TRINITY_DN1260_c0_g1_i18,YG31B
TRINITY_DN1260_c0_g1_i29,POL3
TRINITY_DN1260_c0_g1_i7,RO60
TRINITY_DN1260_c8_g1_i1,ABITM
TRINITY_DN12601_c0_g1_i14,FACR1
TRINITY_DN12603_c0_g2_i1,CALM
TRINITY_DN12606_c0_g2_i2,ST4A1
TRINITY_DN12606_c0_g2_i4,ST1C4
TRINITY_DN12606_c0_g2_i5,ST1B1
TRINITY_DN12609_c0_g1_i1,TESK2
TRINITY_DN12609_c3_g1_i5,XYLT
TRINITY_DN1261_c0_g1_i15,DHRS4
TRINITY_DN1261_c0_g1_i17,DHRS4
TRINITY_DN1261_c0_g1_i8,DHRS4
TRINITY_DN12612_c1_g1_i2,M21D2
TRINITY_DN126123_c0_g1_i1,WNT7A
TRINITY_DN12613_c0_g1_i6,SC5A9
TRINITY_DN12613_c0_g1_i7,SC5A9
TRINITY_DN12617_c0_g1_i6,SYG2
TRINITY_DN12618_c0_g1_i7,CHRD
TRINITY_DN126183_c0_g1_i1,OPSX
TRINITY_DN12629_c0_g1_i4,TFR2
TRINITY_DN126291_c0_g1_i1,PGBD4
TRINITY_DN1263_c0_g1_i11,PLXB
TRINITY_DN12635_c0_g1_i2,GDF10
TRINITY_DN12637_c0_g1_i1,DIP13
TRINITY_DN126377_c0_g1_i1,ATRA
TRINITY_DN12639_c0_g1_i3,DDX31
TRINITY_DN1264_c0_g1_i1,TLR3
TRINITY_DN12643_c0_g1_i6,CCKAR
TRINITY_DN12644_c0_g1_i2,S23IP
TRINITY_DN12647_c0_g1_i8,GLD2A
TRINITY_DN12652_c2_g1_i2,ENTP8
TRINITY_DN12654_c0_g1_i4,IDS
TRINITY_DN12654_c0_g1_i6,IDS
TRINITY_DN12654_c0_g1_i8,IDS
TRINITY_DN126550_c1_g1_i1,R213A
TRINITY_DN126550_c1_g1_i2,R213A
TRINITY_DN12656_c0_g1_i11,FA7
TRINITY_DN12656_c0_g1_i13,FA7
TRINITY_DN12657_c0_g1_i4,AL4A1
TRINITY_DN12657_c0_g1_i5,AL4A1
TRINITY_DN126592_c0_g1_i1,AQP4
TRINITY_DN1266_c0_g1_i3,GYAR
TRINITY_DN1266_c0_g1_i6,GYAR
TRINITY_DN1266_c0_g1_i7,GYAR
TRINITY_DN12660_c0_g1_i2,KT5AB
TRINITY_DN12660_c0_g1_i9,KT5AB
TRINITY_DN126609_c0_g1_i1,MMP3
TRINITY_DN12661_c0_g1_i2,RWDD4
TRINITY_DN12666_c4_g1_i11,MOT2
TRINITY_DN12666_c4_g1_i5,MOT2
TRINITY_DN12667_c0_g1_i2,SF3A1
TRINITY_DN126670_c0_g1_i2,LCYD1
TRINITY_DN12671_c0_g1_i5,CND1
TRINITY_DN12673_c0_g1_i1,TWK7
TRINITY_DN12673_c0_g1_i5,TWK7
TRINITY_DN12675_c0_g1_i12,LIN1
TRINITY_DN12675_c0_g1_i26,LIN1
TRINITY_DN12677_c0_g1_i5,XPO2
TRINITY_DN126779_c0_g1_i1,C1QRF
TRINITY_DN12678_c0_g1_i6,K0513
TRINITY_DN12679_c0_g1_i12,ENDOV
TRINITY_DN12679_c0_g1_i18,ENDOV
TRINITY_DN12679_c0_g1_i6,ENDOV
TRINITY_DN12681_c0_g1_i1,MRT4
TRINITY_DN12682_c0_g1_i2,GID8
TRINITY_DN12684_c0_g1_i8,AREL1
TRINITY_DN12684_c1_g1_i3,TM128
TRINITY_DN126859_c0_g1_i1,S46A3
TRINITY_DN12687_c0_g1_i2,SRPK2
TRINITY_DN12687_c0_g1_i4,SRPK2
TRINITY_DN12687_c2_g1_i10,MEAK7
TRINITY_DN12689_c0_g1_i9,ABCF2
TRINITY_DN1269_c0_g1_i16,TRIO
TRINITY_DN1269_c0_g1_i2,TRIO
TRINITY_DN1269_c0_g3_i1,FBXW5
TRINITY_DN12690_c0_g1_i11,TM14C
TRINITY_DN12693_c1_g1_i1,NEK2
TRINITY_DN12693_c1_g1_i16,NEK2
TRINITY_DN12693_c1_g1_i6,NEK2
TRINITY_DN12697_c0_g1_i9,USB1
TRINITY_DN126991_c0_g1_i2,FKBP7
TRINITY_DN127_c0_g1_i10,TXND3
TRINITY_DN127_c0_g1_i17,TXND3
TRINITY_DN127_c0_g1_i2,TXND3
TRINITY_DN127_c0_g1_i27,TXND3
TRINITY_DN127_c3_g1_i10,ATS7
TRINITY_DN1270_c0_g1_i14,HACL2
TRINITY_DN1270_c0_g1_i6,ANS1B
TRINITY_DN12704_c1_g1_i8,POC5
TRINITY_DN12706_c0_g1_i2,INS1A
TRINITY_DN12709_c0_g1_i2,SYMPK
TRINITY_DN1271_c0_g1_i2,HS74L
TRINITY_DN12710_c1_g1_i2,OTUD3
TRINITY_DN12711_c0_g1_i2,STB1B
TRINITY_DN12717_c0_g1_i5,ACOT8
TRINITY_DN127176_c0_g1_i1,OTOP
TRINITY_DN12720_c0_g1_i3,DFPA
TRINITY_DN12721_c0_g1_i12,SRPRA
TRINITY_DN1273_c0_g1_i6,MOT14
TRINITY_DN1273_c0_g1_i8,MOT14
TRINITY_DN1273_c0_g1_i9,MOT14
TRINITY_DN127300_c0_g1_i1,NEGR1
TRINITY_DN127305_c0_g1_i1,DYHB
TRINITY_DN127307_c0_g1_i2,DYL5B
TRINITY_DN12734_c0_g1_i3,EF2
TRINITY_DN127344_c0_g1_i1,SKOR2
TRINITY_DN127348_c1_g1_i10,HMX
TRINITY_DN127367_c0_g1_i1,CAH1
TRINITY_DN127373_c0_g1_i1,PK1L2
TRINITY_DN1274_c0_g1_i14,CFA47
TRINITY_DN1274_c0_g1_i23,CFA47
TRINITY_DN1274_c0_g1_i5,CFA47
TRINITY_DN127400_c0_g1_i1,GUNF
TRINITY_DN12741_c0_g1_i1,UBE2S
TRINITY_DN127415_c0_g1_i1,NINAB
TRINITY_DN127437_c0_g2_i1,HSP70
TRINITY_DN127437_c0_g3_i1,HSP70
TRINITY_DN12748_c0_g1_i5,UNC9
TRINITY_DN127480_c0_g1_i1,OXDD
TRINITY_DN127495_c0_g1_i3,L3BPA
TRINITY_DN127495_c0_g1_i6,SRCR1
TRINITY_DN127495_c0_g2_i1,DMBT1
TRINITY_DN127495_c1_g1_i1,SRCRL
TRINITY_DN127495_c2_g1_i1,WC11
TRINITY_DN127496_c0_g1_i1,YI31B
TRINITY_DN127499_c0_g1_i1,LHX1
TRINITY_DN12750_c0_g1_i13,ABCA3
TRINITY_DN12750_c0_g1_i2,ABCA3
TRINITY_DN12751_c0_g1_i2,VPS11
TRINITY_DN12754_c0_g1_i3,PRKDC
TRINITY_DN12755_c0_g1_i3,KCNA1
TRINITY_DN127570_c0_g1_i1,KLH26
TRINITY_DN127572_c0_g1_i4,APLY
TRINITY_DN127580_c0_g1_i1,POL4
TRINITY_DN1276_c1_g1_i17,SDCB1
TRINITY_DN1276_c11_g1_i2,EIF3D
TRINITY_DN1276_c21_g1_i6,NTRI
TRINITY_DN1276_c4_g1_i6,TAB1
TRINITY_DN127617_c0_g1_i2,GC76C
TRINITY_DN12762_c0_g1_i13,CETN4
TRINITY_DN12762_c0_g1_i9,CETN4
TRINITY_DN127623_c0_g1_i2,ZMYM2
TRINITY_DN127633_c1_g1_i2,RL23A
TRINITY_DN12765_c0_g1_i2,CMTA2
TRINITY_DN12767_c0_g1_i14,PGTB1
TRINITY_DN12767_c0_g1_i5,PGTB1
TRINITY_DN127678_c0_g1_i1,ATS12
TRINITY_DN127683_c1_g1_i3,VA5
TRINITY_DN1277_c0_g1_i21,MRCKA
TRINITY_DN1277_c0_g1_i24,MRCKA
TRINITY_DN1277_c0_g1_i28,MRCKA
TRINITY_DN1277_c0_g1_i35,MRCKA
TRINITY_DN12771_c0_g1_i1,F172A
TRINITY_DN127721_c1_g2_i1,TC1A
TRINITY_DN127736_c0_g2_i1,ZEP2
TRINITY_DN12774_c0_g1_i3,UROM
TRINITY_DN12774_c0_g1_i5,UROM
TRINITY_DN12775_c0_g1_i11,NSE1
TRINITY_DN12775_c0_g1_i2,NSE1
TRINITY_DN12775_c0_g1_i5,NSE1
TRINITY_DN127759_c0_g1_i1,LIN1
TRINITY_DN12778_c0_g1_i5,STING
TRINITY_DN12781_c0_g1_i1,NEC1
TRINITY_DN127822_c0_g1_i1,PO21
TRINITY_DN12783_c0_g1_i8,MFS4B
TRINITY_DN12785_c2_g1_i1,ABCB7
TRINITY_DN12785_c2_g1_i3,ABCB7
TRINITY_DN12789_c2_g1_i11,RHG29
TRINITY_DN12789_c2_g1_i9,RHG29
TRINITY_DN127891_c0_g1_i2,RTBS
TRINITY_DN127896_c0_g1_i2,DUOX2
TRINITY_DN1279_c1_g1_i13,CBPC3
TRINITY_DN1279_c1_g1_i14,CBPC3
TRINITY_DN1279_c1_g1_i17,CBPC3
TRINITY_DN1279_c1_g1_i20,CBPC3
TRINITY_DN1279_c1_g1_i4,CBPC3
TRINITY_DN1279_c1_g1_i5,CBPC3
TRINITY_DN12791_c0_g1_i2,COMD1
TRINITY_DN12792_c0_g1_i1,SYWC
TRINITY_DN127927_c0_g1_i2,ALH13
TRINITY_DN127948_c0_g1_i1,ULA1
TRINITY_DN12797_c0_g1_i7,MED30
TRINITY_DN127972_c0_g1_i1,FBCD1
TRINITY_DN12798_c0_g1_i2,C85CB
TRINITY_DN12799_c0_g1_i2,COMD5
TRINITY_DN1280_c0_g1_i8,MFD4A
TRINITY_DN1280_c0_g1_i9,MFD4A
TRINITY_DN12805_c0_g1_i2,OTU10
TRINITY_DN128060_c0_g1_i1,RHMD
TRINITY_DN12807_c0_g1_i10,FLVC2
TRINITY_DN12807_c0_g1_i11,FLVC2
TRINITY_DN12807_c0_g1_i13,FLVC2
TRINITY_DN12807_c0_g1_i5,FLVC2
TRINITY_DN12807_c0_g1_i6,FLVC2
TRINITY_DN12808_c0_g1_i12,UN933
TRINITY_DN12808_c0_g1_i2,UN933
TRINITY_DN1281_c0_g1_i13,TID
TRINITY_DN1281_c0_g1_i39,TID
TRINITY_DN128105_c1_g1_i3,WRN
TRINITY_DN128106_c0_g1_i1,CO6A4
TRINITY_DN12811_c0_g1_i12,TM209
TRINITY_DN12811_c0_g1_i13,TM209
TRINITY_DN12815_c0_g1_i12,CAV1
TRINITY_DN12815_c0_g1_i16,CAV1
TRINITY_DN12815_c0_g1_i5,CAV1
TRINITY_DN12815_c0_g1_i9,CAV1
TRINITY_DN128169_c0_g1_i1,HLDE
TRINITY_DN128202_c1_g1_i1,ADA2A
TRINITY_DN128216_c0_g1_i2,ST1C2
TRINITY_DN128219_c0_g1_i2,WSCD2
TRINITY_DN12822_c0_g1_i2,JOS1
TRINITY_DN12823_c0_g1_i6,PXYP1
TRINITY_DN12823_c0_g1_i8,PXYP1
TRINITY_DN128238_c0_g1_i4,RS25
TRINITY_DN12824_c0_g1_i3,COMD4
TRINITY_DN12826_c0_g1_i1,GGNB2
TRINITY_DN12829_c0_g1_i2,TSN15
TRINITY_DN128296_c0_g1_i1,CBLN3
TRINITY_DN12833_c4_g1_i7,RECQ5
TRINITY_DN12835_c0_g1_i3,MINP1
TRINITY_DN12835_c0_g1_i4,MINP1
TRINITY_DN1284_c0_g1_i10,YTX2
TRINITY_DN12842_c0_g3_i1,PGRP
TRINITY_DN12843_c0_g1_i1,FZD4
TRINITY_DN12844_c0_g1_i1,3BHS7
TRINITY_DN12844_c0_g1_i5,3BHS7
TRINITY_DN12845_c0_g1_i13,SMG8
TRINITY_DN128451_c0_g1_i18,AKRC9
TRINITY_DN128451_c0_g1_i19,AKCL2
TRINITY_DN128451_c0_g1_i2,AKCL2
TRINITY_DN128474_c0_g1_i1,GLRA4
TRINITY_DN12848_c0_g1_i1,PHR
TRINITY_DN12849_c1_g1_i10,PLX2
TRINITY_DN12849_c1_g1_i8,PLX2
TRINITY_DN12849_c5_g1_i1,VWDE
TRINITY_DN12852_c0_g2_i5,AP5Z1
TRINITY_DN12852_c0_g2_i7,AP5Z1
TRINITY_DN12854_c15_g1_i2,AAAD
TRINITY_DN12855_c0_g1_i27,OBSCN
TRINITY_DN12855_c0_g1_i28,TITIN
TRINITY_DN12855_c0_g1_i33,OBSCN
TRINITY_DN128561_c0_g1_i1,PLMN
TRINITY_DN12857_c0_g1_i2,CNNM2
TRINITY_DN128575_c0_g1_i1,GST1
TRINITY_DN128575_c0_g1_i2,GST1
TRINITY_DN1286_c0_g1_i13,TENA
TRINITY_DN1286_c1_g1_i22,TENR
TRINITY_DN128642_c0_g1_i1,P4HA1
TRINITY_DN12865_c1_g1_i7,RTBS
TRINITY_DN12865_c1_g1_i8,RTBS
TRINITY_DN128650_c0_g1_i1,SC5A8
TRINITY_DN12867_c0_g1_i7,TLR6
TRINITY_DN128681_c0_g1_i1,SC5A9
TRINITY_DN1287_c0_g1_i1,DYI2
TRINITY_DN1287_c0_g1_i4,DYI2
TRINITY_DN1287_c0_g1_i8,DYI2
TRINITY_DN12871_c0_g1_i2,PIAP
TRINITY_DN12874_c0_g1_i7,HDAC6
TRINITY_DN12874_c0_g1_i9,HDAC6
TRINITY_DN12874_c1_g1_i8,SIM29
TRINITY_DN12875_c1_g1_i2,BCL7A
TRINITY_DN128787_c0_g1_i3,CEPU1
TRINITY_DN1288_c0_g1_i11,SPS1
TRINITY_DN1288_c0_g1_i2,SPS1
TRINITY_DN1288_c0_g1_i6,SPS1
TRINITY_DN12883_c0_g1_i16,FLVC1
TRINITY_DN12883_c0_g1_i18,FLVC1
TRINITY_DN12883_c0_g1_i6,FLVC1
TRINITY_DN12883_c0_g1_i9,FLVC1
TRINITY_DN12885_c0_g1_i17,SZRD1
TRINITY_DN128856_c1_g1_i1,TLR2
TRINITY_DN128856_c1_g1_i5,NK2R
TRINITY_DN12889_c0_g1_i10,NFYA
TRINITY_DN12893_c0_g1_i9,Y2759
TRINITY_DN128962_c0_g1_i1,PRG2
TRINITY_DN128971_c0_g1_i1,KCNK1
TRINITY_DN12898_c0_g1_i8,TETN
TRINITY_DN129_c0_g1_i9,FL2D
TRINITY_DN1290_c0_g1_i32,TLN2
TRINITY_DN12900_c0_g1_i4,ATF2
TRINITY_DN129008_c0_g1_i1,GLRK
TRINITY_DN129039_c0_g1_i6,IFIH1
TRINITY_DN129075_c5_g1_i1,SAL
TRINITY_DN129081_c0_g1_i2,BBS5
TRINITY_DN12909_c0_g1_i7,APC4
TRINITY_DN1291_c0_g1_i2,COPT1
TRINITY_DN1291_c0_g1_i24,COPT1
TRINITY_DN1291_c0_g1_i8,COPT1
TRINITY_DN1291_c2_g1_i4,EXOSX
TRINITY_DN12910_c0_g1_i2,NKG2D
TRINITY_DN12911_c0_g1_i1,LRRK2
TRINITY_DN12911_c0_g1_i10,LRRK2
TRINITY_DN12911_c0_g1_i3,LRRK2
TRINITY_DN12911_c0_g1_i7,LRRK2
TRINITY_DN129137_c0_g1_i1,SP9
TRINITY_DN12914_c0_g1_i2,ADA1B
TRINITY_DN129152_c0_g1_i1,G3ST1
TRINITY_DN12920_c0_g1_i6,NU155
TRINITY_DN129227_c0_g1_i1,MOXD1
TRINITY_DN129255_c0_g1_i1,H2A
TRINITY_DN12937_c0_g1_i12,SIR1
TRINITY_DN12937_c0_g1_i13,SIR1
TRINITY_DN12937_c0_g1_i6,SIR1
TRINITY_DN12937_c0_g1_i7,SIR1
TRINITY_DN12939_c0_g1_i10,PMGT1
TRINITY_DN12947_c0_g1_i10,SELO1
TRINITY_DN12947_c0_g1_i6,SELO
TRINITY_DN12947_c2_g1_i6,NFKB1
TRINITY_DN129470_c0_g1_i2,ASTE1
TRINITY_DN1295_c0_g1_i10,ST1B1
TRINITY_DN1295_c0_g1_i13,ST1B1
TRINITY_DN1295_c0_g1_i14,S1C2A
TRINITY_DN1295_c0_g1_i15,ST1E1
TRINITY_DN1295_c0_g1_i16,ST1B1
TRINITY_DN1295_c0_g2_i1,S1C2A
TRINITY_DN1295_c0_g3_i1,ST1B1
TRINITY_DN1295_c0_g6_i1,ST1A1
TRINITY_DN1295_c1_g1_i5,ST1B1
TRINITY_DN12951_c0_g1_i1,PKHG7
TRINITY_DN12951_c0_g1_i3,PKHG7
TRINITY_DN12958_c0_g1_i11,NRP1A
TRINITY_DN12958_c0_g1_i12,TLL1
TRINITY_DN12958_c0_g1_i13,TLL1
TRINITY_DN12958_c0_g1_i6,TLL1
TRINITY_DN12960_c0_g1_i4,DCA15
TRINITY_DN129613_c0_g1_i7,S35B2
TRINITY_DN129622_c0_g1_i3,S13A3
TRINITY_DN129622_c0_g1_i9,S13A3
TRINITY_DN12970_c1_g1_i3,NR1D2
TRINITY_DN12970_c1_g1_i5,E78C
TRINITY_DN129738_c0_g1_i1,ACE
TRINITY_DN129738_c0_g2_i1,ACE
TRINITY_DN12974_c1_g1_i1,POLR
TRINITY_DN12976_c1_g1_i10,NDK
TRINITY_DN12976_c1_g1_i18,NDK
TRINITY_DN12978_c0_g1_i9,TRM2A
TRINITY_DN1298_c1_g2_i3,BSDC1
TRINITY_DN1298_c1_g2_i6,BSDC1
TRINITY_DN12983_c0_g1_i4,PPGB
TRINITY_DN12984_c1_g1_i1,DNMBP
TRINITY_DN12984_c1_g1_i2,DNMBP
TRINITY_DN1299_c0_g1_i1,GPX2
TRINITY_DN1299_c0_g1_i3,GPX1
TRINITY_DN12992_c0_g1_i3,SMC1A
TRINITY_DN12992_c0_g1_i8,SMC1A
TRINITY_DN12993_c0_g1_i3,BTBDH
TRINITY_DN12993_c0_g1_i7,BTBDH
TRINITY_DN12996_c0_g1_i31,DLGP5
TRINITY_DN130_c0_g1_i1,SC6A5
TRINITY_DN130_c0_g1_i12,SC6A5
TRINITY_DN130_c1_g1_i1,LYAG
TRINITY_DN130_c1_g1_i3,LYAG
TRINITY_DN130_c1_g2_i1,MGA
TRINITY_DN130_c11_g1_i9,LRP6
TRINITY_DN130_c2_g1_i11,MYRIP
TRINITY_DN130_c2_g1_i8,MYRIP
TRINITY_DN130_c56_g1_i5,KLHL2
TRINITY_DN130_c6_g1_i2,CASP8
TRINITY_DN130_c8_g1_i6,UN45B
TRINITY_DN13000_c1_g2_i1,FBLN7
TRINITY_DN13001_c2_g1_i2,F91A1
TRINITY_DN130024_c0_g1_i1,SCP
TRINITY_DN13009_c0_g1_i13,MS3L1
TRINITY_DN13009_c0_g1_i15,MS3L1
